步枪||1010000000,1020000000
赛艇||1040000000,1200000000,1910000000
气步枪||150000000,140000000,560000000,1460000000
双桨||1360000000,1370000000
特别节目||30000000,50000000,60000000,2240000000,2330000000,2360000000,1160000000,1190000000,1660000000,1880000000,1870000000
重剑||190000000,200000000,1070000000,1130000000
跳高||2210000000,2200000000
花剑||390000000,500000000
羽毛球||1570000000,1690000000,2040000000,2050000000,2060000000
全能||890000000,1050000000,1250000000
三级跳远||1520000000,1510000000
射击||690000000,1460000000
竞走||1210000000,2030000000,2070000000,2170000000
乒乓球||660000000,680000000,790000000,710000000,850000000,910000000,920000000,960000000,1000000000,1090000000,1100000000,1380000000,1450000000,1620000000,1650000000,1750000000,1810000000,1860000000,1820000000
击剑||500000000
花样游泳||10000000,2090000000,2130000000,2170000000=
田径比赛||1950000000
气手枪||180000000
标枪||2210000000,2200000000
跳水||370000000,600000000,740000000,950000000,1530000000,1580000000,1700000000,1920000000,2000000000,2170000000,2180000000
集锦||250000000,450000000,760000000,770000000,1230000000,1320000000,1300000000,1660000000,1780000000,1880000000,1870000000,2010000000,2350000000
游泳||170000000,240000000,300000000,350000000,340000000,440000000,520000000,630000000,670000000,750000000,810000000,870000000,930000000,970000000,1030000000,1120000000,1140000000,1230000000,1260000000,1330000000,1400000000
体操||230000000,330000000,580000000,700000000,800000000,890000000,1050000000,1480000000,1470000000,1590000000
网球||1600000000
男篮||220000000,290000000,280000000,2080000000,2100000000,2140000000,2320000000
仰泳||1260000000
铅球||1250000000
链球||1250000000
撑杆跳高||1630000000
射箭||350000000,400000000,340000000,490000000,1080000000
举重||410000000,420000000,480000000,510000000,590000000,720000000,730000000,900000000,1290000000,1500000000
集体||10000000,2090000000,2130000000,2170000000
开幕式||30000000,80000000,50000000,60000000,70000000,100000000,110000000
飞碟||360000000,570000000,1230000000
女篮||270000000,860000000
闭幕式||2340000000,2330000000,2380000000,2370000000
女排||150000000,140000000,160000000,260000000,550000000,610000000,1310000000,1490000000,1710000000,1720000000,1760000000,1770000000,1900000000,1970000000,1990000000,2150000000,2220000000,2280000000,2250000000,2290000000
男排||2300000000
曲棍球||1930000000
平衡木||1590000000
