交通	traffic
国土资源	land_resources
敌对势力	hostile_force
自然灾害	natural_disaster
公共安全	public_safety
维权上访	rights_petition
军事国防	military_defense
信息产业	Information_industry
信息安全	information_security
工业企业	industrial_enterprise
网络安全	network_security
党务团务	party_affair
国家政务	national_government_affair
外交	diplomatic
政法监察	Political_legal_supervision
综合党团	integrated_party
港台侨务	HongKong_Taiwan
卫生食品	health_food
体育	sport
文化	culture
旅游服务	travel_services
就业社保	employment_social_security
人口计生	Population_family_planning
农业农村	agricultural_rural_areas
住房建设	housing_construction
环境保护	environmental_protection
能源	energy
教育	education
科技	technology
商业贸易	commercial_trade
宏观经济	macroeconomic
财税金融	finance
安全稳定	safe_and_stable
工业信息	industrial_information
政治	politics
文卫	culture_health
社会民生	social_livelihood
经济金融	economic_and_financial

